,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_14,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_14,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_3,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_3,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_3,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_3,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_4,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_4,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_5,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_5,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_6,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_6
,precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad)
file,,,,,,,,,,,,,,,,,,,,,,,,
inference_01,0.990000009536743,g,0.910000026226044,g,0.97000002861023,g,0.819999992847443,g,0.870000004768372,g,0.930000007152557,g,0.910000026226044,g,0.079999998211861,g,0.97000002861023,g,0.910000026226044,g,0.97000002861023,g,0.930000007152557,g
inference_02,0.050000000745058,b,0.029999999329448,g,0.349999994039535,g,0.079999998211861,g,0.689999997615814,g,0.059999998658896,g,0.070000000298023,g,0.029999999329448,b,0.589999973773956,g,0.109999999403954,g,0.090000003576279,g,0.140000000596046,g
inference_03,0.980000019073486,g,0.9200000166893,g,0.9200000166893,g,0.819999992847443,g,0.879999995231628,g,0.9200000166893,g,0.939999997615814,g,0.649999976158142,g,0.980000019073486,g,0.930000007152557,g,0.910000026226044,g,0.949999988079071,g
inference_04,1,g,0.899999976158142,g,0.990000009536743,g,0.949999988079071,g,0.949999988079071,g,0.980000019073486,g,0.97000002861023,g,0.790000021457672,g,0.990000009536743,g,0.97000002861023,g,0.949999988079071,g,0.990000009536743,g
inference_05,0.639999985694885,g,0.439999997615814,g,0.419999986886978,g,0.319999992847443,g,0.479999989271164,g,0.649999976158142,g,0.330000013113022,g,0.070000000298023,g,0.639999985694885,g,0.479999989271164,g,0.709999978542328,g,0.629999995231628,g
inference_06,1,g,0.959999978542328,g,0.990000009536743,g,0.910000026226044,g,0.980000019073486,g,0.97000002861023,g,0.980000019073486,g,0.769999980926514,g,0.990000009536743,g,0.949999988079071,g,0.990000009536743,g,0.97000002861023,g
inference_07,0.990000009536743,g,0.980000019073486,g,0.990000009536743,g,0.930000007152557,g,0.97000002861023,g,0.980000019073486,g,0.97000002861023,g,0.070000000298023,g,0.990000009536743,g,0.930000007152557,g,0.980000019073486,g,0.959999978542328,g
inference_08,0.990000009536743,g,0.870000004768372,g,0.829999983310699,g,0.529999971389771,g,0.899999976158142,g,0.209999993443489,g,0.189999997615814,g,0.550000011920929,g,0.810000002384186,g,0.779999971389771,g,0.889999985694885,g,0.699999988079071,g
inference_09,0.97000002861023,g,0.860000014305115,g,0.899999976158142,g,0.310000002384186,g,0.670000016689301,g,0.730000019073486,g,0.670000016689301,g,0.5,g,0.949999988079071,g,0.509999990463257,g,0.680000007152557,g,0.569999992847443,g
inference_10,0.639999985694885,g,0.579999983310699,g,0.419999986886978,g,0.389999985694885,g,0.800000011920929,g,0.649999976158142,g,0.589999973773956,g,0.349999994039535,g,0.509999990463257,b,0.479999989271164,g,0.409999996423721,b,0.579999983310699,g
inference_11,0.9200000166893,g,0.639999985694885,g,0.479999989271164,g,0.100000001490116,g,0.070000000298023,g,0.090000003576279,g,0.370000004768372,g,0.109999999403954,b,0.709999978542328,b,0.479999989271164,g,0.280000001192093,g,0.340000003576279,b
inference_12,0.990000009536743,g,0.949999988079071,g,0.97000002861023,g,0.910000026226044,g,0.97000002861023,g,0.980000019073486,g,0.97000002861023,g,0.660000026226044,g,1,g,0.97000002861023,g,0.939999997615814,g,0.980000019073486,g
inference_13,0.990000009536743,g,0.959999978542328,g,0.990000009536743,g,0.790000021457672,g,0.889999985694885,g,0.889999985694885,g,0.97000002861023,g,0.239999994635582,g,0.990000009536743,g,0.9200000166893,g,0.949999988079071,g,0.97000002861023,g
inference_14,0.959999978542328,g,0.910000026226044,g,0.879999995231628,g,0.550000011920929,g,0.769999980926514,g,0.959999978542328,g,0.810000002384186,g,0.259999990463257,g,0.910000026226044,g,0.75,g,0.879999995231628,g,0.469999998807907,g
inference_15,0.990000009536743,g,0.910000026226044,g,0.97000002861023,g,0.689999997615814,g,0.910000026226044,g,0.910000026226044,g,0.829999983310699,g,0.170000001788139,g,0.949999988079071,g,0.769999980926514,g,0.860000014305115,g,0.910000026226044,g
inference_16,1,g,0.990000009536743,g,0.990000009536743,g,0.97000002861023,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.670000016689301,g,1,g,0.980000019073486,g,0.990000009536743,g,1,g
inference_17,1,g,0.97000002861023,g,0.939999997615814,g,0.850000023841858,g,0.519999980926514,g,0.899999976158142,g,0.899999976158142,g,0.009999999776483,b,0.419999986886978,g,0.810000002384186,g,0.779999971389771,g,0.070000000298023,g
inference_18,0.860000014305115,g,0.879999995231628,g,0.800000011920929,g,0.569999992847443,g,0.730000019073486,g,0.100000001490116,g,0.370000004768372,g,0.180000007152557,g,0.9200000166893,g,0.75,g,0.899999976158142,g,0.730000019073486,g
inference_19,0.340000003576279,g,0.490000009536743,g,0.479999989271164,g,0.439999997615814,g,0.159999996423721,g,0.560000002384186,g,0.660000026226044,g,0.430000007152557,g,0.75,g,0.610000014305115,g,0.860000014305115,b,0.660000026226044,g
inference_20,1,g,0.980000019073486,g,0.980000019073486,g,0.97000002861023,g,0.980000019073486,g,0.990000009536743,g,0.990000009536743,g,0.709999978542328,b,0.980000019073486,g,0.97000002861023,g,0.899999976158142,g,0.97000002861023,g
inference_21,0.990000009536743,g,0.97000002861023,g,0.910000026226044,g,0.990000009536743,g,0.990000009536743,g,1,g,0.959999978542328,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.980000019073486,g,0.97000002861023,g
inference_22,1,g,0.930000007152557,g,0.930000007152557,g,0.980000019073486,g,0.980000019073486,g,0.97000002861023,g,0.910000026226044,g,0.930000007152557,g,0.980000019073486,g,0.97000002861023,g,0.810000002384186,g,0.800000011920929,g
inference_23,1,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.959999978542328,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.980000019073486,g,0.990000009536743,g
inference_24,0.839999973773956,g,0.680000007152557,g,0.740000009536743,g,0.839999973773956,g,0.9200000166893,g,0.490000009536743,g,0.449999988079071,g,0.910000026226044,g,0.879999995231628,g,0.800000011920929,g,0.72000002861023,g,0.509999990463257,g
inference_25,0.97000002861023,g,0.930000007152557,g,0.680000007152557,g,0.75,g,0.819999992847443,g,0.790000021457672,g,0.540000021457672,g,0.740000009536743,g,0.790000021457672,g,0.899999976158142,g,0.629999995231628,g,0.449999988079071,g
inference_26,0.980000019073486,g,0.939999997615814,g,0.980000019073486,g,0.629999995231628,g,0.949999988079071,g,0.810000002384186,g,0.319999992847443,g,0.959999978542328,g,0.9200000166893,g,0.980000019073486,g,0.959999978542328,g,0.9200000166893,g
inference_27,0.990000009536743,g,0.990000009536743,g,0.97000002861023,g,0.97000002861023,g,0.959999978542328,g,0.889999985694885,g,0.959999978542328,g,0.9200000166893,g,0.889999985694885,g,0.9200000166893,g,0.649999976158142,g,0.899999976158142,g
inference_28,0.839999973773956,g,0.790000021457672,g,0.959999978542328,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.949999988079071,g,0.990000009536743,g,0.990000009536743,g,1,g,0.949999988079071,g,0.959999978542328,g
inference_29,0.419999986886978,g,0.03999999910593,b,0.029999999329448,b,0.25,g,0.009999999776483,b,0.009999999776483,b,0.050000000745058,b,0.509999990463257,g,0.070000000298023,g,0.119999997317791,g,0.090000003576279,b,0.100000001490116,b
inference_30,0.689999997615814,g,0.670000016689301,g,0.839999973773956,g,0.850000023841858,g,0.910000026226044,g,0.300000011920929,g,0.349999994039535,g,0.930000007152557,g,0.839999973773956,g,0.939999997615814,g,0.730000019073486,g,0.819999992847443,g
inference_31,0.980000019073486,g,0.97000002861023,g,0.800000011920929,b,0.910000026226044,g,0.959999978542328,g,0.910000026226044,g,0.75,g,0.800000011920929,b,0.910000026226044,g,0.980000019073486,g,0.670000016689301,g,0.779999971389771,b
inference_32,0.990000009536743,g,0.980000019073486,g,0.980000019073486,g,0.980000019073486,g,0.980000019073486,g,0.990000009536743,g,0.980000019073486,g,0.949999988079071,g,0.879999995231628,g,0.939999997615814,g,0.930000007152557,g,0.899999976158142,g
inference_33,0.959999978542328,g,0.990000009536743,g,0.629999995231628,g,0.829999983310699,g,0.610000014305115,g,0.419999986886978,g,0.370000004768372,g,0.740000009536743,g,0.610000014305115,g,0.949999988079071,g,0.879999995231628,g,0.28999999165535,b
inference_34,0.930000007152557,g,0.529999971389771,b,0.589999973773956,b,0.810000002384186,g,0.779999971389771,g,0.9200000166893,g,0.689999997615814,g,0.810000002384186,g,0.949999988079071,g,0.949999988079071,g,0.75,g,0.670000016689301,g
inference_35,0.939999997615814,g,0.850000023841858,g,0.810000002384186,b,0.959999978542328,g,0.97000002861023,g,0.990000009536743,g,0.800000011920929,g,0.980000019073486,g,0.939999997615814,g,0.939999997615814,g,0.72000002861023,g,0.930000007152557,b
inference_36,0.949999988079071,g,0.119999997317791,g,0.769999980926514,g,0.219999998807907,g,0.9200000166893,g,0.349999994039535,g,0.439999997615814,g,0.569999992847443,g,0.340000003576279,g,0.490000009536743,g,0.449999988079071,g,0.209999993443489,g
inference_37,0.990000009536743,g,1,g,0.779999971389771,g,0.990000009536743,g,0.990000009536743,g,0.959999978542328,g,0.939999997615814,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.959999978542328,g
inference_38,1,g,1,g,0.819999992847443,g,0.990000009536743,g,0.939999997615814,g,0.990000009536743,g,0.97000002861023,g,1,g,0.980000019073486,g,0.949999988079071,g,0.959999978542328,g,0.400000005960465,g
inference_39,0.779999971389771,b,0.72000002861023,b,0.930000007152557,b,0.579999983310699,b,0.800000011920929,b,0.939999997615814,b,0.72000002861023,b,0.270000010728836,b,0.560000002384186,b,0.430000007152557,b,0.870000004768372,b,0.889999985694885,b
inference_40,0.980000019073486,g,0.910000026226044,g,0.959999978542328,g,0.959999978542328,g,0.879999995231628,g,0.930000007152557,g,0.870000004768372,g,0.790000021457672,g,0.800000011920929,g,0.899999976158142,g,0.759999990463257,g,0.959999978542328,g
inference_41,0.980000019073486,g,0.990000009536743,g,0.990000009536743,g,0.980000019073486,g,0.990000009536743,g,0.980000019073486,g,0.97000002861023,g,1,g,0.980000019073486,g,0.980000019073486,g,0.990000009536743,g,0.990000009536743,g
inference_42,0.889999985694885,b,0.9200000166893,b,0.680000007152557,b,0.949999988079071,b,0.889999985694885,b,0.980000019073486,b,0.689999997615814,g,0.959999978542328,b,0.959999978542328,b,0.97000002861023,b,0.879999995231628,b,0.889999985694885,g
inference_43,0.839999973773956,g,0.889999985694885,g,0.850000023841858,g,0.419999986886978,g,0.910000026226044,g,0.330000013113022,g,0.839999973773956,g,0.779999971389771,g,0.670000016689301,g,0.699999988079071,g,0.9200000166893,g,0.959999978542328,g
inference_44,0.72000002861023,g,0.649999976158142,g,0.839999973773956,g,0.660000026226044,g,0.860000014305115,g,0.680000007152557,g,0.899999976158142,g,0.569999992847443,g,0.790000021457672,g,0.769999980926514,b,0.889999985694885,g,0.949999988079071,g
inference_45,0.980000019073486,g,0.959999978542328,g,0.97000002861023,g,0.97000002861023,g,0.97000002861023,g,0.97000002861023,g,0.939999997615814,g,0.949999988079071,g,0.910000026226044,g,0.889999985694885,g,0.930000007152557,g,0.980000019073486,g
inference_46,0.870000004768372,g,0.870000004768372,g,0.759999990463257,g,0.839999973773956,g,0.910000026226044,g,0.759999990463257,g,0.819999992847443,g,0.980000019073486,g,0.959999978542328,g,0.639999985694885,g,0.930000007152557,g,0.740000009536743,g
inference_47,0.959999978542328,b,0.879999995231628,g,0.889999985694885,g,0.75,b,0.810000002384186,g,0.870000004768372,g,0.949999988079071,g,0.959999978542328,g,0.730000019073486,g,0.930000007152557,g,0.980000019073486,g,0.939999997615814,g
inference_48,0.990000009536743,g,0.949999988079071,g,0.959999978542328,g,0.879999995231628,b,0.980000019073486,g,0.939999997615814,g,0.97000002861023,g,0.930000007152557,g,0.97000002861023,g,0.9200000166893,b,0.980000019073486,g,0.990000009536743,g
inference_49,0.769999980926514,g,0.810000002384186,g,0.639999985694885,b,0.800000011920929,g,0.730000019073486,g,0.72000002861023,b,0.560000002384186,g,0.709999978542328,g,0.72000002861023,g,0.419999986886978,b,0.910000026226044,g,0.829999983310699,g
inference_50,0.550000011920929,g,0.070000000298023,b,0.28999999165535,g,0.119999997317791,b,0.170000001788139,b,0.059999998658896,g,0.159999996423721,b,0.180000007152557,g,0.200000002980232,b,0.430000007152557,b,0.310000002384186,g,0.109999999403954,b
inference_51,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.990000009536743,g,0.980000019073486,g,0.97000002861023,g,0.980000019073486,g,0.9200000166893,g,0.959999978542328,g,0.959999978542328,g,0.990000009536743,g
inference_52,0.670000016689301,g,0.639999985694885,g,0.949999988079071,g,0.529999971389771,g,0.850000023841858,g,0.449999988079071,g,0.889999985694885,g,0.879999995231628,g,0.910000026226044,g,0.899999976158142,g,0.839999973773956,g,0.870000004768372,g
inference_53,0.170000001788139,g,0.140000000596046,g,0.319999992847443,g,0.119999997317791,g,0.660000026226044,g,0.129999995231628,g,0.109999999403954,g,0.119999997317791,g,0.25,g,0.050000000745058,b,0.620000004768372,g,0.449999988079071,g
inference_54,0.9200000166893,b,0.790000021457672,g,0.97000002861023,g,0.769999980926514,b,0.759999990463257,b,0.879999995231628,b,0.9200000166893,g,0.9200000166893,g,0.579999983310699,b,0.899999976158142,b,0.930000007152557,g,0.97000002861023,g
inference_55,0.949999988079071,g,0.959999978542328,g,0.939999997615814,g,0.9200000166893,g,0.939999997615814,g,0.9200000166893,g,0.899999976158142,g,0.9200000166893,g,0.730000019073486,g,0.709999978542328,b,0.939999997615814,g,0.980000019073486,g
inference_56,0.930000007152557,b,0.959999978542328,b,0.97000002861023,g,0.9200000166893,g,0.910000026226044,g,0.870000004768372,g,0.850000023841858,g,0.839999973773956,g,0.949999988079071,g,0.730000019073486,b,0.930000007152557,g,0.949999988079071,g
inference_57,0.059999998658896,b,0.050000000745058,b,0.189999997615814,g,0.029999999329448,b,0.189999997615814,b,0.050000000745058,g,0.029999999329448,g,0.029999999329448,g,0.170000001788139,b,0.159999996423721,b,0.159999996423721,g,0.170000001788139,g
inference_58,0.959999978542328,g,0.939999997615814,g,0.939999997615814,g,0.899999976158142,g,0.97000002861023,g,0.939999997615814,g,0.889999985694885,g,0.939999997615814,g,0.939999997615814,g,0.790000021457672,g,0.899999976158142,g,0.97000002861023,g
inference_59,0.680000007152557,b,0.560000002384186,g,0.490000009536743,g,0.629999995231628,g,0.670000016689301,g,0.340000003576279,g,0.5,b,0.639999985694885,g,0.860000014305115,g,0.769999980926514,b,0.660000026226044,b,0.839999973773956,g
inference_60,0.97000002861023,g,0.980000019073486,g,0.959999978542328,g,0.980000019073486,g,0.980000019073486,g,0.930000007152557,g,0.939999997615814,g,0.97000002861023,g,0.939999997615814,g,0.910000026226044,g,0.980000019073486,g,0.959999978542328,g
inference_61,0.949999988079071,b,0.889999985694885,g,0.870000004768372,g,0.930000007152557,g,0.949999988079071,g,0.939999997615814,b,0.899999976158142,g,0.649999976158142,b,0.819999992847443,g,0.620000004768372,g,0.589999973773956,b,0.97000002861023,g
inference_62,0.959999978542328,b,0.990000009536743,g,0.899999976158142,g,0.959999978542328,g,0.980000019073486,g,0.980000019073486,b,0.9200000166893,g,0.75,g,0.949999988079071,g,0.639999985694885,g,0.860000014305115,g,0.990000009536743,g
inference_63,0.829999983310699,b,0.930000007152557,g,0.870000004768372,g,0.9200000166893,g,0.959999978542328,g,0.949999988079071,b,0.879999995231628,g,0.670000016689301,g,0.879999995231628,g,0.670000016689301,g,0.810000002384186,g,0.959999978542328,g
inference_64,0.949999988079071,b,0.959999978542328,g,0.889999985694885,g,0.939999997615814,g,0.959999978542328,g,0.870000004768372,b,0.889999985694885,g,0.689999997615814,g,0.860000014305115,g,0.589999973773956,b,0.680000007152557,g,0.980000019073486,g
inference_65,0.170000001788139,b,0.340000003576279,g,0.409999996423721,g,0.46000000834465,g,0.689999997615814,b,0.189999997615814,b,0.400000005960465,g,0.090000003576279,b,0.370000004768372,b,0.330000013113022,b,0.059999998658896,g,0.529999971389771,g
inference_66,0.600000023841858,b,0.759999990463257,g,0.75,g,0.819999992847443,g,0.939999997615814,g,0.649999976158142,b,0.620000004768372,g,0.660000026226044,g,0.670000016689301,g,0.259999990463257,b,0.72000002861023,g,0.899999976158142,g
inference_67,0.97000002861023,b,0.850000023841858,g,0.72000002861023,b,0.680000007152557,g,0.740000009536743,g,0.97000002861023,b,0.660000026226044,b,0.560000002384186,b,0.810000002384186,b,0.709999978542328,b,0.75,g,0.879999995231628,g
inference_68,0.990000009536743,b,0.980000019073486,g,0.910000026226044,g,0.980000019073486,g,0.97000002861023,g,0.980000019073486,b,0.930000007152557,g,0.829999983310699,g,0.899999976158142,g,0.899999976158142,b,0.819999992847443,g,0.959999978542328,g
inference_69,0.699999988079071,b,0.769999980926514,g,0.620000004768372,b,0.649999976158142,g,0.740000009536743,g,0.180000007152557,b,0.709999978542328,g,0.540000021457672,g,0.810000002384186,g,0.709999978542328,b,0.560000002384186,g,0.899999976158142,g
inference_70,0.730000019073486,b,0.670000016689301,g,0.519999980926514,b,0.550000011920929,g,0.629999995231628,g,0.819999992847443,b,0.550000011920929,b,0.219999998807907,b,0.610000014305115,g,0.28999999165535,b,0.540000021457672,g,0.709999978542328,g
inference_71,0.889999985694885,b,0.889999985694885,g,0.709999978542328,g,0.899999976158142,g,0.879999995231628,g,0.810000002384186,b,0.629999995231628,g,0.379999995231628,b,0.829999983310699,g,0.349999994039535,b,0.589999973773956,g,0.939999997615814,g
inference_72,0.189999997615814,b,0.200000002980232,g,0.029999999329448,g,0.310000002384186,g,0.910000026226044,g,0.159999996423721,b,0.170000001788139,g,0.029999999329448,g,0.670000016689301,g,0.079999998211861,b,0.119999997317791,g,0.300000011920929,g
inference_73,0.990000009536743,b,0.990000009536743,g,0.949999988079071,g,0.980000019073486,g,0.97000002861023,g,0.97000002861023,b,0.910000026226044,g,0.759999990463257,g,0.9200000166893,g,0.699999988079071,g,0.889999985694885,g,0.980000019073486,g
inference_74,0.790000021457672,b,0.340000003576279,b,0.409999996423721,b,0.529999971389771,b,0.790000021457672,g,0.610000014305115,b,0.389999985694885,b,0.5,b,0.100000001490116,b,0.159999996423721,b,0.600000023841858,b,0.449999988079071,b
inference_75,0.959999978542328,b,1,g,0.990000009536743,g,1,g,1,g,0.819999992847443,b,0.97000002861023,g,0.949999988079071,g,0.980000019073486,g,0.879999995231628,g,0.959999978542328,g,1,g
inference_76,0.990000009536743,b,0.800000011920929,g,0.860000014305115,g,0.899999976158142,g,0.769999980926514,g,0.97000002861023,b,0.9200000166893,b,0.639999985694885,g,0.800000011920929,b,0.860000014305115,b,0.850000023841858,g,0.910000026226044,g
inference_77,0.939999997615814,b,0.670000016689301,g,0.72000002861023,g,0.930000007152557,g,0.810000002384186,g,0.839999973773956,b,0.779999971389771,g,0.579999983310699,b,0.759999990463257,g,0.550000011920929,g,0.730000019073486,b,0.949999988079071,g
inference_78,0.310000002384186,b,0.519999980926514,g,0.25,b,0.759999990463257,g,0.72000002861023,g,0.019999999552965,b,0.340000003576279,g,0.129999995231628,b,0.189999997615814,g,0.46000000834465,b,0.419999986886978,b,0.319999992847443,g
inference_79,0.910000026226044,b,0.910000026226044,g,0.860000014305115,g,0.959999978542328,g,0.980000019073486,g,0.939999997615814,b,0.879999995231628,g,0.689999997615814,g,0.930000007152557,g,0.759999990463257,b,0.790000021457672,g,0.990000009536743,g
inference_80,0.980000019073486,b,0.990000009536743,g,0.949999988079071,g,0.990000009536743,g,0.959999978542328,g,0.980000019073486,b,0.9200000166893,g,0.879999995231628,b,0.889999985694885,g,0.779999971389771,g,0.850000023841858,g,0.980000019073486,g
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,71,,65,,64,,59,,73,,60,,57,,50,,67,,59,,66,,61,
,,52,,72,,68,,72,,73,,55,,72,,64,,69,,55,,70,,72
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,73,,,,,,,,,,,,,,,,,,,,,,,
,73,,,,,,,,,,,,,,,,,,,,,,,
